,artist,track,Week,Ranking
0,Destiny's Child,Independent Women Part I,1,78
1,Santana,"Maria, Maria",1,15
2,Savage Garden,I Knew I Loved You,1,71
3,Madonna,Music,1,41
4,"Aguilera, Christina",Come On Over Baby (All I Want Is You),1,57
5,Janet,Doesn't Really Matter,1,59
6,Destiny's Child,Say My Name,1,83
7,"Iglesias, Enrique",Be With You,1,63
8,Sisqo,Incomplete,1,77
9,Lonestar,Amazed,1,81
10,N'Sync,It's Gonna Be Me,1,82
11,"Aguilera, Christina",What A Girl Wants,1,71
12,Vertical Horizon,Everything You Want,1,70
13,Creed,With Arms Wide Open,1,84
14,Aaliyah,Try Again,1,59
15,matchbox twenty,Bent,1,60
16,"Carey, Mariah",Thank God I Found You,1,82
17,"Hill, Faith",Breathe,1,81
18,Mya,Case Of The Ex (Whatcha Gonna Do),1,72
19,Dream,He Loves U Not,1,99
20,"Braxton, Toni",He Wasn't Man Enough,1,63
21,"Anthony, Marc",You Sang To Me,1,77
22,98¡,Give Me Just One Night (Una Noche),1,51
23,Destiny's Child,Jumpin' Jumpin',1,74
24,3 Doors Down,Kryptonite,1,81
25,Sisqo,Thong Song,1,74
26,"Aguilera, Christina",I Turn To You,1,50
27,"Houston, Whitney",My Love Is Your Love,1,81
28,Joe,I Wanna Know,1,94
29,"Jordan, Montell",Get It On.. Tonite,1,92
30,N'Sync,Bye Bye Bye,1,42
31,Eminem,The Real Slim Shady,1,70
32,Pink,Most Girls,1,85
33,"Mumba, Samantha",Gotta Tell You,1,85
34,Blaque,Bring It All To Me,1,73
35,"Elliott, Missy ""Misdemeanor""",Hot Boyz,1,36
36,"Gray, Macy",I Try,1,68
37,N'Sync,This I Promise You,1,68
38,Ruff Endz,No More,1,76
39,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,1,74
40,Nine Days,Absolutely (Story Of A Girl),1,85
41,"Dion, Celine",That's The Way It Is,1,74
42,Blink-182,All The Small Things,1,89
43,Eiffel 65,Blue (Da Ba Dee),1,67
44,"Badu, Erkyah",Bag Lady,1,67
45,Pink,There U Go,1,25
46,Creed,Higher,1,81
47,Nelly,(Hot S**t) Country Grammar,1,100
48,Next,Wifey,1,85
49,Kenny G,Auld Lang Syne (The Millenium Mix),1,89
50,Sonique,It Feels So Good,1,67
51,"Spears, Britney",Oops!.. I Did It Again,1,67
52,"Backstreet Boys, The",Shape Of My Heart,1,39
53,Everclear,Wonderful,1,77
54,Ja Rule,Between Me And You,1,85
55,"Rimes, LeAnn",I Need You,1,77
