artist,track,Week,Ranking
2 Pac,Baby Don't Cry (Keep Ya Head Up II),1,87
2 Pac,Baby Don't Cry (Keep Ya Head Up II),2,82
2 Pac,Baby Don't Cry (Keep Ya Head Up II),3,72
2 Pac,Baby Don't Cry (Keep Ya Head Up II),4,77
2 Pac,Baby Don't Cry (Keep Ya Head Up II),5,87
2 Pac,Baby Don't Cry (Keep Ya Head Up II),6,94
2 Pac,Baby Don't Cry (Keep Ya Head Up II),7,99
2 Pac,Baby Don't Cry (Keep Ya Head Up II),8,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),9,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),10,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),11,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),12,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),13,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),14,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),15,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),16,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),17,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),18,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),19,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),20,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),21,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),22,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),23,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),24,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),25,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),26,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),27,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),28,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),29,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),30,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),31,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),32,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),33,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),34,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),35,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),36,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),37,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),38,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),39,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),40,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),41,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),42,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),43,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),44,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),45,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),46,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),47,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),48,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),49,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),50,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),51,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),52,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),53,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),54,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),55,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),56,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),57,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),58,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),59,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),60,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),61,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),62,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),63,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),64,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),65,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),66,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),67,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),68,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),69,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),70,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),71,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),72,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),73,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),74,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),75,101
2 Pac,Baby Don't Cry (Keep Ya Head Up II),76,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),1,91
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),2,87
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3,92
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),4,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),5,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),6,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),7,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),8,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),9,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),10,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),11,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),12,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),13,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),14,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),15,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),16,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),17,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),18,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),19,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),20,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),21,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),22,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),23,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),24,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),25,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),26,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),27,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),28,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),29,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),30,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),31,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),32,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),33,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),34,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),35,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),36,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),37,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),38,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),39,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),40,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),41,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),42,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),43,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),44,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),45,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),46,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),47,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),48,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),49,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),50,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),51,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),52,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),53,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),54,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),55,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),56,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),57,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),58,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),59,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),60,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),61,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),62,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),63,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),64,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),65,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),66,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),67,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),68,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),69,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),70,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),71,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),72,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),73,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),74,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),75,101
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),76,101
3 Doors Down,Kryptonite,1,81
3 Doors Down,Kryptonite,2,70
3 Doors Down,Kryptonite,3,68
3 Doors Down,Kryptonite,4,67
3 Doors Down,Kryptonite,5,66
3 Doors Down,Kryptonite,6,57
3 Doors Down,Kryptonite,7,54
3 Doors Down,Kryptonite,8,53
3 Doors Down,Kryptonite,9,51
3 Doors Down,Kryptonite,10,51
3 Doors Down,Kryptonite,11,51
3 Doors Down,Kryptonite,12,51
3 Doors Down,Kryptonite,13,47
3 Doors Down,Kryptonite,14,44
3 Doors Down,Kryptonite,15,38
3 Doors Down,Kryptonite,16,28
3 Doors Down,Kryptonite,17,22
3 Doors Down,Kryptonite,18,18
3 Doors Down,Kryptonite,19,18
3 Doors Down,Kryptonite,20,14
3 Doors Down,Kryptonite,21,12
3 Doors Down,Kryptonite,22,7
3 Doors Down,Kryptonite,23,6
3 Doors Down,Kryptonite,24,6
3 Doors Down,Kryptonite,25,6
3 Doors Down,Kryptonite,26,5
3 Doors Down,Kryptonite,27,5
3 Doors Down,Kryptonite,28,4
3 Doors Down,Kryptonite,29,4
3 Doors Down,Kryptonite,30,4
3 Doors Down,Kryptonite,31,4
3 Doors Down,Kryptonite,32,3
3 Doors Down,Kryptonite,33,3
3 Doors Down,Kryptonite,34,3
3 Doors Down,Kryptonite,35,4
3 Doors Down,Kryptonite,36,5
3 Doors Down,Kryptonite,37,5
3 Doors Down,Kryptonite,38,9
3 Doors Down,Kryptonite,39,9
3 Doors Down,Kryptonite,40,15
3 Doors Down,Kryptonite,41,14
3 Doors Down,Kryptonite,42,13
3 Doors Down,Kryptonite,43,14
3 Doors Down,Kryptonite,44,16
3 Doors Down,Kryptonite,45,17
3 Doors Down,Kryptonite,46,21
3 Doors Down,Kryptonite,47,22
3 Doors Down,Kryptonite,48,24
3 Doors Down,Kryptonite,49,28
3 Doors Down,Kryptonite,50,33
3 Doors Down,Kryptonite,51,42
3 Doors Down,Kryptonite,52,42
3 Doors Down,Kryptonite,53,49
3 Doors Down,Kryptonite,54,101
3 Doors Down,Kryptonite,55,101
3 Doors Down,Kryptonite,56,101
3 Doors Down,Kryptonite,57,101
3 Doors Down,Kryptonite,58,101
3 Doors Down,Kryptonite,59,101
